learning_rate,step,train_loss,epoch,val_metric_0th_dataset,val_metric
4.11764705882353e-06,49,,,,
,49,8.464370727539062,1,,
8.319327731092438e-06,99,,,,
,99,3.0360960960388184,2,,
,140,,2,0.22904156607090143,0.22904156607090143
1.2521008403361346e-05,149,,,,
,149,1.6876991987228394,3,,
1.6722689075630252e-05,199,,,,
,199,0.4651448726654053,4,,
2.092436974789916e-05,249,,,,
,249,0.33417177200317383,5,,
,281,,5,0.11959640840072261,0.11959640840072261
2.5126050420168067e-05,299,,,,
,299,0.3207274377346039,6,,
2.9327731092436975e-05,349,,,,
,349,0.23493143916130066,7,,
2.9936347156337917e-05,399,,,,
,399,0.26666074991226196,8,,
,422,,8,0.06193525587688496,0.06193525587688496
2.969540207426193e-05,449,,,,
,449,0.07870461046695709,9,,
2.927775103972272e-05,499,,,,
,499,0.014861555770039558,10,,
2.868841612856976e-05,549,,,,
,549,0.02629838138818741,11,,
,563,,11,0.04663645895391027,0.04663645895391027
2.7934483842163746e-05,599,,,,
,599,0.05790657922625542,12,,
2.702501989521523e-05,649,,,,
,649,0.035972487181425095,13,,
2.5970960204425523e-05,699,,,,
,699,0.017587071284651756,14,,
,704,,14,0.028516544767393633,0.028516544767393633
2.4784979388745026e-05,749,,,,
,749,0.009385419078171253,15,,
2.348133836247733e-05,799,,,,
,799,0.0022293971851468086,17,,
,845,,17,0.013690842562635645,0.013690842562635645
2.2075712853857203e-05,849,,,,
,849,0.00043927322258241475,18,,
2.0585004911093478e-05,899,,,,
,899,0.011852416209876537,19,,
1.902713966243643e-05,949,,,,
,949,0.0019727612379938364,20,,
,986,,20,0.019498519102832595,0.019498519102832595
1.7420849774143318e-05,999,,,,
,999,0.026031620800495148,21,,
1.578545019814322e-05,1049,,,,
,1049,0.002782489638775587,22,,
1.4140605917964633e-05,1099,,,,
,1099,0.0006852050428278744,23,,
,1127,,23,0.02409208461335141,0.02409208461335141
1.2506095485682134e-05,1149,,,,
,1149,0.0010840005706995726,24,,
1.0901573193249637e-05,1199,,,,
,1199,0.0035858009941875935,25,,
9.34633273800865e-06,1249,,,,
,1249,0.00016005939687602222,26,,
,1268,,26,0.019399997796637918,0.019399997796637918
7.859075224193272e-06,1299,,,,
,1299,0.000782384944614023,27,,
6.457684290114914e-06,1349,,,,
,1349,0.0010022771311923862,28,,
5.159011065026666e-06,1399,,,,
,1399,6.994634895818308e-05,29,,
,1409,,29,0.01961582010991786,0.01961582010991786
